name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta_samp[24],0.38,0.28,0.67,-0.34,0.27,1.6,5.8,2.6e-05,1.2
beta_samp[25],0.88,0.24,0.55,-0.1,0.9,1.5,5.5,2.4e-05,1.3
beta_samp[26],1.1,0.74,1.1,-0.78,1.6,2.4,2.2,9.7e-06,3.3
beta_samp[27],1.3,0.48,0.82,0.035,1.5,2.6,2.9,1.3e-05,1.7
beta_samp[28],-1.2,0.33,0.5,-1.8,-1.4,-0.23,2.2,9.8e-06,3.2
beta_samp[29],0.77,0.23,0.41,0.21,0.67,1.4,3.1,1.4e-05,1.6
beta_samp[30],0.43,0.11,0.31,-0.066,0.44,0.94,7.9,3.5e-05,1.2
beta_samp[31],0.45,0.45,0.65,-0.13,0.14,1.6,2.1,9.2e-06,5.5
beta_samp[32],0.86,0.11,0.47,0.13,0.91,1.6,17.0,7.3e-05,1.1
beta_samp[33],-0.57,0.64,0.92,-1.3,-1.0,1.1,2.0,9e-06,7.1
beta_samp[34],1.3,1.3,1.9,-2.1,2.2,2.9,2.1,9.1e-06,6.5
beta_samp[35],-0.55,0.22,0.36,-1.0,-0.67,0.11,2.7,1.2e-05,2.0
beta_samp[36],-0.63,0.91,1.3,-1.7,-1.3,1.6,2.0,9e-06,8.0
beta_samp[37],0.18,0.24,0.52,-0.43,0.11,1.1,4.5,2e-05,1.3
beta_samp[38],-0.11,0.13,0.53,-0.74,-0.31,0.94,17.0,7.4e-05,1.1
beta_samp[39],0.16,0.5,0.72,-0.5,-0.18,1.4,2.1,9.2e-06,4.8
beta_samp[40],-0.47,0.38,0.57,-1.4,-0.27,0.2,2.2,9.8e-06,3.1
beta_samp[41],-0.39,0.081,0.16,-0.66,-0.39,-0.1,4.0,1.8e-05,1.5
beta_samp[42],-0.29,0.087,0.17,-0.57,-0.3,-0.053,3.8,1.7e-05,1.4
beta_samp[43],0.83,0.36,0.53,0.28,0.61,1.8,2.2,9.6e-06,3.5
beta_samp[44],-0.34,0.82,1.2,-1.3,-0.91,1.7,2.0,9e-06,6.9
beta_samp[45],0.78,0.15,0.4,0.27,0.7,1.5,6.8,3e-05,1.2
beta_samp[46],0.6,0.21,0.42,0.039,0.58,1.4,4.3,1.9e-05,1.4
beta_samp[47],-1.9,0.31,0.48,-2.5,-2.0,-1.1,2.4,1.1e-05,2.3
beta_samp[48],-0.38,0.069,0.15,-0.63,-0.38,-0.17,4.5,2e-05,1.3
beta_samp[49],0.44,0.59,0.87,-1.0,0.78,1.4,2.2,9.6e-06,3.4
beta_samp[50],-0.38,0.016,0.14,-0.62,-0.38,-0.17,76.0,0.00034,1.1
beta_samp[51],-0.75,0.02,0.22,-1.1,-0.75,-0.4,127.0,0.00056,1.0
beta_samp[52],0.32,0.76,1.1,-1.6,0.82,1.3,2.1,9.2e-06,5.4
beta_samp[53],-1.3,0.14,0.24,-1.6,-1.3,-0.88,3.2,1.4e-05,1.6
beta_samp[54],0.49,0.86,1.2,-1.7,0.99,1.8,2.1,9.4e-06,4.1
beta_samp[55],-0.52,0.0074,0.18,-0.82,-0.53,-0.2,619.0,0.0027,1.0
beta_samp[56],1.7,0.88,1.3,-0.48,2.2,2.9,2.1,9.3e-06,4.4
beta_samp[57],-0.44,0.26,0.73,-1.4,-0.53,0.84,7.9,3.5e-05,1.2
beta_samp[58],2.3,0.66,0.97,0.62,2.7,3.3,2.1,9.5e-06,3.8
beta_samp[59],-0.43,0.24,0.38,-0.91,-0.54,0.28,2.4,1.1e-05,2.3
beta_samp[60],-0.6,0.38,0.59,-1.6,-0.45,0.17,2.4,1.1e-05,2.4
beta_samp[61],-0.44,0.015,0.41,-0.99,-0.52,0.4,792.0,0.0035,1.0
beta_samp[62],-0.18,0.76,1.1,-2.2,0.27,0.95,2.1,9.4e-06,4.2
beta_samp[63],0.87,0.39,0.68,-0.22,0.96,1.9,3.1,1.4e-05,1.7
beta_samp[64],0.5,0.34,0.76,-0.79,0.49,1.4,5.0,2.2e-05,1.3
beta_samp[65],0.035,0.37,0.68,-0.9,-0.15,0.99,3.3,1.5e-05,1.6
beta_samp[66],-0.26,0.19,0.52,-0.79,-0.41,0.81,8.0,3.5e-05,1.2
beta_samp[67],-0.75,0.0063,0.12,-0.96,-0.75,-0.55,370.0,0.0016,1.0
beta_samp[68],0.16,0.3,0.45,-0.3,-0.023,0.97,2.2,9.7e-06,3.3
