,Subject,Beta,etaPos,etaNeg,p1,p2,p3,p4,Actual Subject,Task
154,39.0,1.747,0.018,0.064,-0.512,-0.009,0.016,0.055,156.0,5.0
155,35.0,1.9,0.043,0.39,-0.166,-0.035,0.006,0.037,152.0,5.0
156,34.0,2.29,0.011,0.466,-0.302,0.006,0.053,0.018,151.0,5.0
157,55.0,1.967,0.025,0.173,-0.596,-0.09,0.003,0.024,140.0,5.0
158,31.0,2.738,0.018,0.091,-0.171,-0.101,-0.003,0.037,148.0,5.0
159,30.0,5.756,0.071,0.109,-0.082,0.006,0.035,0.024,147.0,5.0
160,27.0,1.459,0.025,0.075,-0.35,-0.039,-0.016,0.047,144.0,5.0
161,26.0,3.227,0.009,0.008,-0.103,-0.015,-0.031,0.042,143.0,5.0
162,17.0,3.821,0.078,0.526,0.014,-0.081,-0.005,0.049,122.0,5.0
163,38.0,2.544,0.08,0.216,-0.377,-0.055,0.048,0.031,155.0,5.0
164,0.0,3.865,0.025,0.04,-0.244,0.053,0.029,0.037,109.0,5.0
